CCTV蓝光,#genre#
CCTV-1,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV-2,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231678/index.m3u8
CCTV-2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV-3,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV-3,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8
CCTV-4,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV-4,http://111.20.33.93/PLTV/88888893/224/3221226223/index.m3u8
CCTV-5,http://39.135.138.58:18890/PLTV/88888888/224/3221225633/index.m3u8
CCTV-5,http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+,http://117.148.179.136/PLTV/88888888/224/3221231459/1.m3u8
CCTV-5+,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8
CCTV-6,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV-6,http://39.134.65.181/PLTV/88888888/224/3221225814/1.m3u8
CCTV-7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8,http://39.135.138.58:18890/PLTV/88888888/224/3221225635/index.m3u8
CCTV-8,http://111.40.196.9/PLTV/88888888/224/3221225592/index.m3u8
CCTV-8,http://39.134.65.181/PLTV/88888888/224/3221225795/1.m3u8
CCTV-9,http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8
CCTV-9,http://39.135.138.58:18890/PLTV/88888888/224/3221225646/index.m3u8
CCTV-10,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8
CCTV-10,http://39.135.138.58:18890/PLTV/88888888/224/3221225636/index.m3u8
CCTV-11,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8
CCTV-11,http://39.134.65.179/PLTV/88888888/224/3221225517/1.m3u8
CCTV-12,http://39.135.138.58:18890/PLTV/88888888/224/3221225629/index.m3u8
CCTV-12,http://39.135.138.58:18890/PLTV/88888888/224/3221225637/index.m3u8
CCTV-12,http://39.134.65.179/PLTV/88888888/224/3221225669/1.m3u8
CCTV-13,http://39.135.138.58:18890/PLTV/88888888/224/3221225638/index.m3u8
CCTV-13,http://39.134.65.141/PLTV/88888888/224/3221225812/1.m3u8
CCTV-13,http://39.134.65.177/PLTV/88888888/224/3221225812/1.m3u8
CCTV-14,http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8
CCTV-14,http://39.135.138.58:18890/PLTV/88888888/224/3221225640/index.m3u8
CCTV-14,http://39.134.65.179/PLTV/88888888/224/3221225674/1.m3u8
CCTV-15,http://39.135.138.58:18890/PLTV/88888888/224/3221225641/index.m3u8
CCTV-15,http://39.134.65.181/PLTV/88888888/224/3221225513/1.m3u8
CCTV-16奥林匹克,http://39.135.138.58:18890/PLTV/88888888/224/3221226230/index.m3u8
CCTV-16奥林匹克,http://39.135.138.58:18890/PLTV/88888888/224/3221226233/index.m3u8
CCTV-17农业农村,http://39.135.138.58:18890/PLTV/88888888/224/3221225907/index.m3u8
CCTV-17农业农村,http://39.135.138.58:18890/PLTV/88888888/224/3221225908/index.m3u8
CCTV-4中文国际欧洲,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV-4中文国际美洲,http://117.148.179.158/PLTV/88888888/224/3221231654/index.m3u8
CCTV-4K 超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-4K 超高清,https://p.ggiptv.com/v/4k.m3u8
CCTV-4K 超高清,http://open.live-web.timetv.cn/live03/cctv4k.m3u8
CGTN-英语,http://live.cgtn.com/1000/prog_index.m3u8
CGTN-英语,http://117.148.179.174/PLTV/88888888/224/3221231592/index.m3u8
CGTN-法语,http://117.148.179.156/PLTV/88888888/224/3221231550/index.m3u8
CGTN-纪录,http://117.148.179.144/PLTV/88888888/224/3221231492/index.m3u8
CGTN-纪录,http://39.135.138.58:18890/PLTV/88888888/224/3221225645/index.m3u8

卫视蓝光,#genre#
广东卫视,http://39.135.32.24:6610/000000001000/1000000001000028357/1.m3u8?xtkg?zweid
深圳卫视,http://39.135.32.24:6610/000000001000/1000000001000011645/1.m3u8?xtkg?zweid
湖南卫视,http://39.135.32.24:6610/000000001000/1000000001000009115/1.m3u8?xtkg?zweid
浙江卫视,http://39.135.32.24:6610/000000001000/1000000001000009806/1.m3u8?xtkg?zweid
东方卫视,http://39.135.32.24:6610/000000001000/1000000001000030202/1.m3u8?xtkg?zweid
江苏卫视,http://39.135.32.24:6610/000000001000/1000000001000004684/1.m3u8?xtkg?zweid
北京卫视,http://39.135.32.24:6610/000000001000/1000000001000017156/1.m3u8?xtkg?zweid
天津卫视,http://39.135.32.24:6610/000000001000/1000000001000000831/1.m3u8?xtkg?zweid
山東卫视,http://39.135.32.24:6610/000000001000/1000000001000012807/1.m3u8?xtkg?zweid
东南卫视,http://39.135.32.24:6610/000000001000/1000000002000009263/1.m3u8?xtkg?zweid
江西卫视,http://39.135.32.24:6610/000000001000/1000000001000013731/1.m3u8?xtkg?zweid
黑龙江卫视,http://39.135.32.24:6610/000000001000/8467838254824392379/1.m3u8?xtkg?zweid
重庆卫视,http://39.135.32.24:6610/000000001000/1000000002000018937/1.m3u8?xtkg?zweid
辽宁卫视,http://39.135.32.24:6610/000000001000/1000000002000024033/1.m3u8?xtkg?zweid
广东卫视,http://39.135.32.25:6610/000000001000/HD-4000k-1080P-guangdongstv/1.m3u8?IASHttpSessionId=OTT?zweid
江苏卫视,http://39.135.32.24:6610/000000001000/HD-4000k-1080P-jiangsustv/1.m3u8?IASHttpSessionId=OTT?zweid
浙江卫视,http://39.135.32.25:6610/000000001000/HD-4000k-1080P-zhejiangstv/1.m3u8?IASHttpSessionId=OTT?zweid
东方卫视,http://39.135.32.25:6610/000000001000/HD-4000k-1080P-dongfangstv/1.m3u8?IASHttpSessionId=OTT?zweid
北京卫视,http://39.135.32.25:6610/000000001000/HD-4000k-1080P-beijingstv/1.m3u8?IASHttpSessionId=OTT?zweid
山东卫视,http://39.135.32.24:6610/000000001000/HD-8000k-1080P-shandongstv/1.m3u8?IASHttpSessionId=OTT?zweid
黑龙江卫视,http://39.135.32.24:6610/000000001000/hdheilongjiangstv/1.m3u8?IASHttpSessionId=OTT?zweid
安徽卫视,http://39.135.32.24:6610/000000001000/anhuistv/1.m3u8?IASHttpSessionId=OTT?zweid
辽宁卫视,http://39.135.32.24:6610/000000001000/HD-8000k-1080P-liaoningstv/1.m3u8?IASHttpSessionId=OTT?zweid
重庆卫视,http://39.135.32.6:6610/000000001000/HD-8000k-1080P-chongqingstv/1.m3u8?IASHttpSessionId=OTT?zweid
江西卫视,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-jiangxistv/1.m3u8?IASHttpSessionId=OTT?zweid
广东卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225685/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zweid
深圳卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225725/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zweid
深圳卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225691/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zweid
北京卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225651/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zweid
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225745/index.m3u8?zweid
江苏卫视,http://39.135.32.6:6610/PLTV/77777777/224/3221225722/index.m3u8?servicetype=1&IASHttpSessionId=OTT?zweid
